date,room,device,total_kwh,avg_power,max_power,avg_temperature,avg_humidity,active_readings,total_readings,usage_rate
2025-10-24,Bathroom,Heater,2.4266,485.305,1839.5,22.485,71.91499999999999,6,20,0.3
2025-10-24,Bathroom,Lights,0.1483,29.714999999999996,48.1,22.369999999999997,71.175,14,20,0.7
2025-10-24,Bedroom,AC,3.4757,695.13,1524.4,19.380000000000003,62.525,10,20,0.5
2025-10-24,Bedroom,Fan,0.12890000000000001,25.885,85.4,19.21,61.15,6,20,0.3
2025-10-24,Bedroom,Lights,0.1183,23.634999999999998,54.8,19.235,59.025,9,20,0.45
2025-10-24,Kitchen,Heater,4.1224,824.49,2255.6,24.36,64.39,8,20,0.4
2025-10-24,Kitchen,Lights,0.2723,54.504999999999995,80.6,24.345,64.41499999999999,15,20,0.75
2025-10-24,Living Room,AC,2.7964,559.275,1570.8,21.1,58.995000000000005,7,20,0.35
2025-10-24,Living Room,Fan,0.1817,36.445,83.5,21.11,58.455,9,20,0.45
2025-10-24,Living Room,Lights,0.211,42.195,65.5,21.47,54.80499999999999,14,20,0.7
2025-10-24,Office,AC,0.994,198.795,1565.1,21.365000000000002,53.964999999999996,2,20,0.1
2025-10-24,Office,Fan,0.1266,25.465,79.2,21.19,53.25,6,20,0.3
2025-10-24,Office,Lights,0.21610000000000001,43.205,89.6,21.575,51.67999999999999,11,20,0.55
2025-10-25,Bathroom,Heater,8.9563,373.1791666666666,1830.0,28.352083333333336,72.25937499999999,22,96,0.229
2025-10-25,Bathroom,Lights,0.5305,22.117708333333336,48.2,28.54375,71.32916666666667,48,96,0.5
2025-10-25,Bedroom,AC,23.4784,978.2604166666666,1541.7,25.683333333333334,59.86041666666667,68,96,0.708
2025-10-25,Bedroom,Fan,0.4969,20.854166666666668,84.5,25.645833333333332,61.11875,22,96,0.229
2025-10-25,Bedroom,Lights,0.283,11.790625,54.4,25.43541666666667,59.61770833333333,21,96,0.219
2025-10-25,Kitchen,Heater,12.6507,527.1135416666667,2281.3,30.396874999999998,65.66770833333334,25,96,0.26
2025-10-25,Kitchen,Lights,0.9332,38.87708333333333,82.3,30.510416666666668,64.45833333333333,50,96,0.521
2025-10-25,Living Room,AC,19.1114,796.3010416666666,1708.6,27.53333333333333,57.15833333333333,50,96,0.521
2025-10-25,Living Room,Fan,0.9107999999999999,38.047916666666666,86.0,27.678124999999998,57.721875000000004,45,96,0.469
2025-10-25,Living Room,Lights,0.5152,21.461458333333336,68.6,27.433333333333334,56.83645833333333,32,96,0.333
2025-10-25,Office,AC,17.5732,732.234375,1801.7,27.605208333333334,52.31145833333333,43,96,0.448
2025-10-25,Office,Fan,0.9514,39.744791666666664,85.8,27.58125,52.63854166666667,46,96,0.479
2025-10-25,Office,Lights,0.9116,37.981249999999996,89.6,27.465625,51.81666666666666,45,96,0.469
2025-10-26,Bathroom,Heater,7.6967,320.69895833333334,1801.6,28.376041666666666,71.93229166666667,18,96,0.188
2025-10-26,Bathroom,Lights,0.453,18.8875,48.1,28.151041666666668,71.75416666666666,41,96,0.427
2025-10-26,Bedroom,AC,19.7938,824.75625,1548.2,25.265625,60.026041666666664,57,96,0.594
2025-10-26,Bedroom,Fan,0.6244999999999999,26.159375,85.8,25.256249999999998,59.73645833333333,29,96,0.302
2025-10-26,Bedroom,Lights,0.4608,19.198958333333334,54.9,25.1125,59.74791666666667,35,96,0.365
2025-10-26,Kitchen,Heater,14.7687,615.3697916666666,2276.8,30.317708333333332,64.72291666666666,29,96,0.302
2025-10-26,Kitchen,Lights,1.0047,41.864583333333336,82.3,30.108333333333334,65.11979166666667,55,96,0.573
2025-10-26,Living Room,AC,15.6367,651.5166666666667,1714.8,27.342708333333334,57.18854166666667,40,96,0.417
2025-10-26,Living Room,Fan,0.9131,38.155208333333334,86.2,27.183333333333334,56.630208333333336,45,96,0.469
2025-10-26,Living Room,Lights,0.6546,27.257291666666664,69.0,27.191666666666666,56.96145833333333,42,96,0.438
2025-10-26,Office,AC,14.3204,596.6864583333333,1808.5,27.33020833333333,51.942708333333336,35,96,0.365
2025-10-26,Office,Fan,0.7583,31.728125000000002,86.1,27.355208333333334,51.526041666666664,36,96,0.375
2025-10-26,Office,Lights,1.1061,46.08229166666666,89.6,27.11145833333333,51.93541666666667,55,96,0.573
2025-10-27,Bathroom,Heater,8.2094,342.05104166666666,1830.3,28.634375000000002,74.66145833333333,19,96,0.198
2025-10-27,Bathroom,Lights,0.43620000000000003,18.175,47.7,28.510416666666668,74.89166666666667,39,96,0.406
2025-10-27,Bedroom,AC,18.1796,757.478125,1547.0,25.520833333333332,64.17812500000001,52,96,0.542
2025-10-27,Bedroom,Fan,0.7095,29.692708333333332,86.2,25.495833333333334,63.31354166666667,34,96,0.354
2025-10-27,Bedroom,Lights,0.4671,19.470833333333335,54.8,25.479166666666668,63.246874999999996,36,96,0.375
2025-10-27,Kitchen,Heater,12.5516,522.9802083333333,2254.0,30.657291666666666,68.45833333333333,25,96,0.26
2025-10-27,Kitchen,Lights,1.0047,41.87083333333333,82.6,30.411458333333332,67.76145833333334,54,96,0.562
2025-10-27,Living Room,AC,16.5755,690.6447916666666,1716.1,27.617708333333336,60.99895833333333,42,96,0.438
