year_month,room,total_kwh,avg_daily_kwh,avg_temperature,peak_power
2025-04,Bathroom,1.21,0.0252,26.920833333333334,2299.0
2025-04,Bedroom,0.74,0.0102,26.920833333333334,1229.0
2025-04,Kitchen,0.6,0.0124,26.920833333333334,1976.0
2025-04,Living Room,1.38,0.0191,26.920833333333334,1472.0
2025-04,Office,1.5,0.0208,26.920833333333334,1654.0
2025-05,Bathroom,57.29,0.0096,35.54304435483871,2484.0
2025-05,Bedroom,188.54,0.0211,35.543044354838706,1799.0
2025-05,Kitchen,58.44,0.0098,35.54304435483871,2500.0
2025-05,Living Room,187.7,0.021,35.543044354838706,1800.0
2025-05,Office,196.62,0.022,35.543044354838706,1799.0
2025-06,Bathroom,56.34,0.0098,34.52017361111111,2481.0
2025-06,Bedroom,181.24,0.021,34.52017361111111,1798.0
2025-06,Kitchen,47.76,0.0083,34.52017361111111,2483.0
2025-06,Living Room,188.67,0.0218,34.52017361111111,1799.0
2025-06,Office,181.37,0.021,34.52017361111111,1800.0
2025-07,Bathroom,58.41,0.0098,31.52842741935484,2500.0
2025-07,Bedroom,168.03,0.0188,31.528427419354838,1794.0
2025-07,Kitchen,48.68,0.0082,31.52842741935484,2498.0
2025-07,Living Room,166.77,0.0187,31.528427419354838,1800.0
2025-07,Office,154.44,0.0173,31.528427419354838,1799.0
2025-08,Bathroom,64.79,0.0109,30.566901881720433,2499.0
2025-08,Bedroom,169.44,0.019,30.56690188172043,1796.0
2025-08,Kitchen,47.97,0.0081,30.566901881720433,2493.0
2025-08,Living Room,158.15,0.0177,30.56690188172043,1799.0
2025-08,Office,164.0,0.0184,30.56690188172043,1797.0
2025-09,Bathroom,50.5,0.0088,30.51829861111111,2494.0
2025-09,Bedroom,157.51,0.0182,30.51829861111111,1795.0
2025-09,Kitchen,53.28,0.0093,30.51829861111111,2499.0
2025-09,Living Room,162.56,0.0188,30.51829861111111,1799.0
2025-09,Office,154.06,0.0178,30.51829861111111,1800.0
2025-10,Bathroom,54.67,0.0092,28.555477150537637,2467.0
2025-10,Bedroom,154.38,0.0173,28.555477150537634,1798.0
2025-10,Kitchen,58.73,0.0099,28.555477150537637,2495.0
2025-10,Living Room,154.96,0.0174,28.555477150537634,1800.0
2025-10,Office,151.31,0.0169,28.555477150537634,1800.0
2025-11,Bathroom,56.61,0.0098,23.547118055555554,2499.0
2025-11,Bedroom,130.6,0.0151,23.547118055555558,1800.0
2025-11,Kitchen,62.21,0.0108,23.547118055555554,2497.0
2025-11,Living Room,140.01,0.0162,23.547118055555558,1800.0
2025-11,Office,134.58,0.0156,23.547118055555558,1800.0
2025-12,Bathroom,61.79,0.0104,19.517607526881722,2496.0
2025-12,Bedroom,129.06,0.0145,19.517607526881722,1800.0
2025-12,Kitchen,56.33,0.0095,19.517607526881722,2484.0
2025-12,Living Room,130.5,0.0146,19.517607526881722,1792.0
2025-12,Office,131.07,0.0147,19.517607526881722,1799.0
2026-01,Bathroom,56.03,0.0094,18.52345430107527,2500.0
2026-01,Bedroom,132.68,0.0149,18.52345430107527,1795.0
2026-01,Kitchen,53.08,0.0089,18.52345430107527,2496.0
2026-01,Living Room,128.78,0.0144,18.52345430107527,1799.0
2026-01,Office,142.41,0.016,18.52345430107527,1798.0
2026-02,Bathroom,50.26,0.0093,20.562834821428574,2484.0
2026-02,Bedroom,126.16,0.0156,20.562834821428574,1797.0
2026-02,Kitchen,49.79,0.0093,20.562834821428574,2488.0
2026-02,Living Room,123.06,0.0153,20.562834821428574,1798.0
2026-02,Office,123.25,0.0153,20.562834821428574,1795.0
2026-03,Bathroom,49.29,0.0083,25.554032258064517,2487.0
2026-03,Bedroom,133.39,0.0149,25.554032258064517,1800.0
2026-03,Kitchen,58.23,0.0098,25.554032258064517,2483.0
2026-03,Living Room,145.28,0.0163,25.554032258064517,1785.0
2026-03,Office,134.31,0.015,25.554032258064517,1790.0
2026-04,Bathroom,46.62,0.0098,30.526515151515152,2462.0
2026-04,Bedroom,142.27,0.02,30.526515151515152,1789.0
2026-04,Kitchen,49.65,0.0104,30.526515151515152,2487.0
2026-04,Living Room,134.51,0.0189,30.526515151515152,1795.0
2026-04,Office,132.8,0.0186,30.526515151515152,1800.0
