timestamp,room,device,power_watts,temperature,humidity,is_device_on
2025-10-24 19:00:00,Living Room,AC,50,14.0,52.8,0
2025-10-24 19:00:00,Living Room,Fan,5,12.3,51.1,0
2025-10-24 19:00:00,Living Room,Lights,2,12.5,47.5,0
2025-10-24 19:00:00,Bedroom,AC,1265.6,10.8,60.1,1
2025-10-24 19:00:00,Bedroom,Fan,5,11.6,52.6,0
2025-10-24 19:00:00,Bedroom,Lights,42.7,10.1,50.2,1
2025-10-24 19:00:00,Kitchen,Lights,63.3,14.9,55.7,1
2025-10-24 19:00:00,Kitchen,Heater,10,16.1,56.4,0
2025-10-24 19:00:00,Office,AC,50,13.1,48.3,0
2025-10-24 19:00:00,Office,Fan,5,14.1,42.7,0
2025-10-24 19:00:00,Office,Lights,67.5,12.7,44.5,1
2025-10-24 19:00:00,Bathroom,Lights,46.6,14.0,63.3,1
2025-10-24 19:00:00,Bathroom,Heater,1453.6,13.9,67.2,1
2025-10-24 19:15:00,Living Room,AC,50,13.0,31.5,0
2025-10-24 19:15:00,Living Room,Fan,71.8,11.7,37.8,1
2025-10-24 19:15:00,Living Room,Lights,2,14.9,29.3,0
2025-10-24 19:15:00,Bedroom,AC,50,11.3,37.7,0
2025-10-24 19:15:00,Bedroom,Fan,85.4,10.0,40.2,1
2025-10-24 19:15:00,Bedroom,Lights,2,12.4,32.7,0
2025-10-24 19:15:00,Kitchen,Lights,2,16.5,39.0,0
2025-10-24 19:15:00,Kitchen,Heater,2022.8,14.8,49.6,1
2025-10-24 19:15:00,Office,AC,50,13.5,27.7,0
2025-10-24 19:15:00,Office,Fan,71.2,11.5,33.6,1
2025-10-24 19:15:00,Office,Lights,2,14.4,22.9,0
2025-10-24 19:15:00,Bathroom,Lights,35.7,15.2,47.6,1
2025-10-24 19:15:00,Bathroom,Heater,1494.2,13.6,56.4,1
2025-10-24 19:30:00,Living Room,AC,1494.9,16.3,48.3,1
2025-10-24 19:30:00,Living Room,Fan,65.8,16.7,46.6,1
2025-10-24 19:30:00,Living Room,Lights,56.0,16.1,45.4,1
2025-10-24 19:30:00,Bedroom,AC,50,14.9,54.8,0
2025-10-24 19:30:00,Bedroom,Fan,5,15.1,47.2,0
2025-10-24 19:30:00,Bedroom,Lights,54.8,13.8,48.4,1
2025-10-24 19:30:00,Kitchen,Lights,75.9,18.1,54.7,1
2025-10-24 19:30:00,Kitchen,Heater,2255.6,20.0,47.8,1
2025-10-24 19:30:00,Office,AC,50,16.8,44.1,0
2025-10-24 19:30:00,Office,Fan,5,17.2,37.4,0
2025-10-24 19:30:00,Office,Lights,67.8,15.1,37.6,1
2025-10-24 19:30:00,Bathroom,Lights,2,17.0,61.5,0
2025-10-24 19:30:00,Bathroom,Heater,10,17.9,56.9,0
2025-10-24 19:45:00,Living Room,AC,50,15.2,51.6,0
2025-10-24 19:45:00,Living Room,Fan,70.0,16.9,52.0,1
2025-10-24 19:45:00,Living Room,Lights,2,14.5,44.4,0
2025-10-24 19:45:00,Bedroom,AC,50,12.1,59.0,0
2025-10-24 19:45:00,Bedroom,Fan,5,13.3,56.3,0
2025-10-24 19:45:00,Bedroom,Lights,2,12.1,48.5,0
2025-10-24 19:45:00,Kitchen,Lights,2,17.7,54.4,0
2025-10-24 19:45:00,Kitchen,Heater,1945.9,18.5,52.7,1
2025-10-24 19:45:00,Office,AC,50,14.8,51.2,0
2025-10-24 19:45:00,Office,Fan,5,15.5,47.9,0
2025-10-24 19:45:00,Office,Lights,2,15.1,41.2,0
2025-10-24 19:45:00,Bathroom,Lights,2,14.5,60.2,0
2025-10-24 19:45:00,Bathroom,Heater,10,16.5,58.8,0
2025-10-24 20:00:00,Living Room,AC,50,13.4,47.3,0
2025-10-24 20:00:00,Living Room,Fan,5,13.5,50.1,0
2025-10-24 20:00:00,Living Room,Lights,60.8,13.1,39.9,1
2025-10-24 20:00:00,Bedroom,AC,1400.5,12.5,52.1,1
2025-10-24 20:00:00,Bedroom,Fan,68.4,11.2,53.4,1
2025-10-24 20:00:00,Bedroom,Lights,2,10.6,47.5,0
2025-10-24 20:00:00,Kitchen,Lights,2,16.1,51.8,0
